iter	Passed	Remaining
399	50681	12670
400	50803	12542
401	50923	12414
402	51059	12289
403	51189	12163
404	51316	12037
405	51449	11911
406	51579	11785
407	51719	11662
408	51852	11536
409	51975	11409
410	52101	11282
411	52227	11155
412	52349	11027
413	52469	10899
414	52588	10771
415	52706	10642
416	52831	10515
417	52947	10386
418	53072	10259
419	53198	10132
420	53321	10005
421	53450	9879
422	53575	9752
423	53696	9624
424	53817	9497
425	53943	9370
426	54063	9242
427	54183	9114
428	54307	8987
429	54425	8860
430	54548	8732
431	54673	8606
432	54792	8478
433	54908	8350
434	55034	8223
435	55161	8097
436	55299	7972
437	55437	7847
438	55571	7721
439	55707	7596
440	55824	7468
441	55941	7340
442	56068	7214
443	56199	7088
444	56327	6961
445	56450	6834
446	56569	6707
447	56685	6579
448	56808	6452
449	56926	6325
450	57062	6199
451	57185	6072
452	57310	5946
453	57432	5819
454	57558	5692
455	57682	5565
456	57805	5439
457	57936	5312
458	58059	5186
459	58182	5059
460	58300	4932
461	58420	4805
462	58539	4678
463	58659	4551
464	58779	4424
465	58900	4297
466	59028	4171
467	59153	4044
468	59274	3917
469	59391	3790
470	59512	3664
471	59638	3537
472	59765	3411
473	59897	3285
474	60027	3159
475	60148	3032
476	60267	2905
477	60391	2779
478	60512	2652
479	60631	2526
480	60758	2400
481	60877	2273
482	61001	2147
483	61121	2020
484	61241	1894
485	61363	1767
486	61488	1641
487	61609	1514
488	61737	1388
489	61854	1262
490	61978	1136
491	62097	1009
492	62217	883
493	62337	757
494	62458	630
495	62578	504
496	62698	378
497	62814	252
498	62938	126
499	63061	0
